chamber,bioguide,last_name,state,district,party,votes,agree_pct,predicted_agree,net_trump_vote
senate,H000338,Hatch,UT,,Republican,76,0.960526315789474,0.82650585,18.07933323
senate,H001041,Heller,NV,,Republican,76,0.921052631578947,0.4841376,-2.41712836
senate,H001042,Hirono,HI,,Democrat,76,0.223684210526316,0.1822381,-32.18281473
senate,H001046,Heinrich,NM,,Democrat,75,0.266666666666667,0.37993438,-8.2132684
senate,H001061,Hoeven,ND,,Republican,76,0.960526315789474,0.92061158,35.72888837
senate,H001069,Heitkamp,ND,,Democrat,76,0.552631578947368,0.92061158,35.72888837
senate,H001075,Harris,CA,,Democrat,76,0.144736842105263,0.19096551,-30.10929307
senate,H001076,Hassan,NH,,Democrat,76,0.328947368421053,0.52540001,-0.36766386
senate,H001079,Hyde-Smith,MS,,Republican,8,1,0.77298208,17.82624982
senate,I000024,Inhofe,OK,,Republican,76,0.947368421052632,0.92189377,36.39118454
senate,I000055,Isakson,GA,,Republican,59,0.932203389830508,0.62401071,5.15937819
senate,J000293,Johnson,WI,,Republican,76,0.907894736842105,0.54854016,0.7643432
senate,J000300,Jones,AL,,Democrat,19,0.526315789473684,0.86661502,27.72514661
senate,K000367,Klobuchar,MN,,Democrat,76,0.302631578947368,0.50204322,-1.52013048
senate,K000383,King,ME,,Independent,76,0.460526315789474,0.47345233,-2.96044935
senate,K000384,Kaine,VA,,Democrat,76,0.342105263157895,0.42888002,-5.32370582
senate,K000393,Kennedy,LA,,Republican,75,0.88,0.83911998,19.63911856
senate,L000174,Leahy,VT,,Democrat,76,0.25,0.2086227,-26.40835124
senate,L000575,Lankford,OK,,Republican,76,0.907894736842105,0.92189377,36.39118454
senate,L000577,Lee,UT,,Republican,76,0.815789473684211,0.82650585,18.07933323
senate,M000133,Markey,MA,,Democrat,75,0.12,0.20702504,-27.19670645
senate,M000303,McCain,AZ,,Republican,53,0.830188679245283,0.61164701,3.54559463
senate,M000355,McConnell,KY,,Republican,75,0.946666666666667,0.90260035,29.83745022
senate,M000639,Menéndez,NJ,,Democrat,74,0.22972972972973,0.28362316,-14.1026978
senate,M000934,Moran,KS,,Republican,75,0.933333333333333,0.84780623,20.60221107
senate,M001111,Murray,WA,,Democrat,76,0.236842105263158,0.2871524,-15.4790881
senate,M001153,Murkowski,AK,,Republican,75,0.826666666666667,0.78687266,14.73064079
senate,M001169,Murphy,CT,,Democrat,75,0.253333333333333,0.30571647,-13.63938672
senate,M001170,McCaskill,MO,,Democrat,75,0.453333333333333,0.83215775,18.637117
senate,M001176,Merkley,OR,,Democrat,76,0.0921052631578947,0.33948018,-10.97781682
senate,M001183,Manchin,WV,,Democrat,76,0.605263157894737,0.92948422,42.15364679
senate,N000032,Nelson,FL,,Democrat,75,0.426666666666667,0.55949328,1.19862561
senate,P000449,Portman,OH,,Republican,76,0.934210526315789,0.6910755,8.1295744
senate,P000595,Peters,MI,,Democrat,75,0.32,0.53712403,0.22303327
senate,P000603,Paul,KY,,Republican,73,0.73972602739726,0.90246253,29.83745022
senate,P000612,Perdue,GA,,Republican,75,0.946666666666667,0.63202248,5.15937819
senate,R000122,Reed,RI,,Democrat,76,0.263157894736842,0.2868592,-15.50854907
senate,R000307,Roberts,KS,,Republican,76,0.960526315789474,0.8495491,20.60221107
senate,R000584,Risch,ID,,Republican,76,0.907894736842105,0.91055521,31.76941855
senate,R000595,Rubio,FL,,Republican,75,0.96,0.5530935,1.19862561
senate,R000605,Rounds,SD,,Republican,76,0.921052631578947,0.90371292,29.79332222
